"price","mileage","year","model","date","origin","website_id","car_id","perthousand_mileage","predicted","residuals"
4950,188700,"2012","Scion xB","2020-12-17","truecar",3,1,188.7,5594.80363230074,-644.803632300752
9900,100104,"2015","Scion xB","2020-12-17","truecar",3,1,100.104,11129.0993840345,-1229.0993840345
6490,119937,"2010","Scion xB","2020-12-17","truecar",3,1,119.937,7600.71113812584,-1110.71113812586
9888,89017,"2014","Scion xB","2020-12-17","truecar",3,1,89.017,10221.9468677758,-333.946867775813
6500,108300,"2010","Scion xB","2020-12-17","truecar",3,1,108.3,7992.99840469561,-1492.99840469563
12716,16494,"2014","Scion xB","2020-12-17","truecar",3,1,16.494,12666.7221048162,49.2778951837749
7997,118000,"2010","Scion xB","2020-12-17","truecar",3,1,118,7666.00807336221,330.991926637769
10888,97840,"2015","Scion xB","2020-12-17","truecar",3,1,97.84,11205.4196015746,-317.419601574583
9900,83309,"2014","Scion xB","2020-12-17","truecar",3,1,83.309,10414.365508111,-514.365508110971
8999,83398,"2014","Scion xB","2020-12-17","truecar",3,1,83.398,10411.3652875451,-1412.36528754513
12995,39451,"2014","Scion xB","2020-12-17","truecar",3,1,39.451,11892.833750546,1102.16624945396
7995,133177,"2013","Scion xB","2020-12-17","truecar",3,1,133.177,8105.44056296041,-110.44056296043
8490,97679,"2012","Scion xB","2020-12-17","truecar",3,1,97.679,8663.15280222828,-173.152802228297
8800,87719,"2012","Scion xB","2020-12-17","truecar",3,1,87.719,8998.90782285515,-198.907822855168
11990,69859,"2014","Scion xB","2020-12-17","truecar",3,1,69.859,10867.769627331,1122.23037266901
7499,107619,"2012","Scion xB","2020-12-17","truecar",3,1,107.619,8328.07198847014,-829.071988470155
8566,96465,"2012","Scion xB","2020-12-17","truecar",3,1,96.465,8704.07715916011,-138.077159160126
6590,133000,"2009","Scion xB","2020-12-17","truecar",3,1,133,6738.41515841321,-148.415158413225
9995,87495,"2014","Scion xB","2020-12-17","truecar",3,1,87.495,10273.254010486,-278.254010486063
7999,117321,"2012","Scion xB","2020-12-17","truecar",3,1,117.321,8001.01423644987,-2.01423644988494
9780,95026,"2015","Scion xB","2020-12-17","truecar",3,1,95.026,11300.2805080047,-1520.2805080047
7429,106573,"2008","Scion xB","2020-12-17","truecar",3,1,106.573,6954.72358653306,474.276413466926
7495,143028,"2010","Scion xB","2020-12-17","truecar",3,1,143.028,6822.30559783517,672.694402164808
6985,140659,"2012","Scion xB","2020-12-17","truecar",3,1,140.659,7214.2822413304,-229.282241330418
7000,159621,"2012","Scion xB","2020-12-17","truecar",3,1,159.621,6575.06670908876,424.933290911221
8995,86735,"2008","Scion xB","2020-12-17","truecar",3,1,86.735,7623.46937962501,1371.53062037497
9990,76849,"2010","Scion xB","2020-12-17","truecar",3,1,76.849,9053.22241611486,936.777583885126
12990,61041,"2013","Scion xB","2020-12-17","truecar",3,1,61.041,10537.1698970909,2452.83010290906
8495,102932,"2012","Scion xB","2020-12-17","truecar",3,1,102.932,8486.0723681567,8.92763184328451
8995,91322,"2013","Scion xB","2020-12-17","truecar",3,1,91.322,9516.3869874923,-521.386987492323
10990,87467,"2012","Scion xB","2020-12-17","truecar",3,1,87.467,9007.40282940113,1982.59717059885
10500,80097,"2014","Scion xB","2020-12-17","truecar",3,1,80.097,10522.6431312288,-22.6431312287926
14488,42246,"2015","Scion xB","2020-12-17","truecar",3,1,42.246,13079.5124345796,1408.48756542037
12952,48328,"2015","Scion xB","2020-12-17","truecar",3,1,48.328,12874.4861257992,77.5138742007588
7994,119607,"2011","Scion xB","2020-12-17","truecar",3,1,119.607,7885.57796910765,108.422030892334
13777,74263,"2015","Scion xB","2020-12-17","truecar",3,1,74.263,12000.2083687753,1776.79163122464
8421,71889,"2010","Scion xB","2020-12-17","truecar",3,1,71.889,9220.42571955956,-799.425719559582
5985,118246,"2005","Scion xB","2020-12-17","truecar",3,1,118.246,6455.27575665582,-470.275756655837
6971,215561,"2008","Scion xB","2020-12-17","truecar",3,1,215.561,3280.70067608313,3690.29932391686
6599,150375,"2009","Scion xB","2020-12-17","truecar",3,1,150.375,6152.69794120519,446.302058794794
10998,99881,"2014","Scion xB","2020-12-17","truecar",3,1,99.881,9855.71769668239,1142.28230331759
